"日","時間(FROM)","時間(TO)","A変","B変","休暇等","行き先(常駐先)"
"1","9:00","18:30",,,,"大門（インフォマート）"
"2","9:00","18:30",,,,"大門（インフォマート）"
"3","9:00","19:00",,,,"大門（インフォマート）"
"4","9:30","19:30",,,"遅刻","大門（インフォマート）・電車遅延のため"
"5","9:00","19:00",,,,"大門（インフォマート）"
"6",,,,,,
"7",,,,,,
"8","9:00","19:00",,,,"大門（インフォマート）"
"9","9:00","19:00",,,,"大門（インフォマート）"
"10","10:30","19:00",,,"遅刻","大門（インフォマート）・私用のため"
"11",,,,,,
"12",,,,,"特休","夏期休暇"
"13",,,,,,
"14",,,,,,
"15",,,,,"特休","夏期休暇"
"16",,,,,"有休","現場休暇のため"
"17","9:00","19:30",,,,"大門（インフォマート）"
"18","9:00","18:30",,,,"大門（インフォマート）"
"19","9:00","18:00",,,,"大門（インフォマート）"
"20",,,,,,
"21",,,,,,
"22",,,,,"有休","体調不良のため"
"23","9:00","18:30",,,,"浜松町（インフォマート）"
"24","9:00","18:00",,,,"浜松町（インフォマート）"
"25","9:00","19:30",,,,"浜松町（インフォマート）"
"26","9:00","20:00",,,,"浜松町（インフォマート）・グループ会"
"27",,,,,,
"28",,,,,,
"29","9:00","18:30",,,,"浜松町（インフォマート）"
"30","9:00","18:30",,,,"浜松町（インフォマート）"
"31","9:00","18:00",,,,"浜松町（インフォマート）"
